nm_item,nm_product,metric_value_on_eval_set,metric_type,optimization_goal
PAPEL HIG LA VIE BLANC FD 30M NEU L12P11,papel higienico,0.0710555284692824,f1_macro_on_full,maximize
TOALHA P PICCOLA C2,lenco umedecido,0.0710555284692824,f1_macro_on_full,maximize
ERVA MATE XIMANGO LAM MD GROSSA 1kg,erva mate,0.0710555284692824,f1_macro_on_full,maximize
CHOC GRAN MARPA 50G,cobertura pronta,0.0710555284692824,f1_macro_on_full,maximize
LING TOSCANA C/QJO 600G PERDIGAO,linguica,0.0710555284692824,f1_macro_on_full,maximize
CEREAL SUCRILHOS ORIG.          CX 730GR,cereal matinal,0.0710555284692824,f1_macro_on_full,maximize
CROISSANT PRES/QUEIJO 220G,padaria e confeitaria fresca,0.0710555284692824,f1_macro_on_full,maximize
CREME CULINARIO BRIGATTA 200GR,outro molho,0.0710555284692824,f1_macro_on_full,maximize
BATATA PALHA VISCONTI CREME/CEBOLA 105G,vegetal em palha,0.0710555284692824,f1_macro_on_full,maximize
AP PRESTO3 BODY SENSE C/2,aparelho de barbear e depilatorio,0.0710555284692824,f1_macro_on_full,maximize
LEITE PO INTEGRAL INST ITAMBE LT 400g,leite em po,0.0710555284692824,f1_macro_on_full,maximize
ALIM NTLE MUCILO M-CERE 18X400,cereal infantil ou farinha lactea,0.0710555284692824,f1_macro_on_full,maximize
SUCO LONGAVITA NATURAL 900ML LARANJA,suco pronto,0.0710555284692824,f1_macro_on_full,maximize
PRESUNTO PERDIGAO 1KG ATACADO,presunto,0.0710555284692824,f1_macro_on_full,maximize
PP BEB LACTEA CAROLINA 800G SALADA MORA,bebida lactea,0.0710555284692824,f1_macro_on_full,maximize
ALVEJANTE VANISH WHITE FR 500ML,alvejante,0.0710555284692824,f1_macro_on_full,maximize
TENYS PE BARUEL PO WOMAN 100G,talco,0.0710555284692824,f1_macro_on_full,maximize
BOLO DE LARANJA C/CALDA FP KG,padaria e confeitaria fresca,0.0710555284692824,f1_macro_on_full,maximize
FRIGIDEIRA PROFISSIONAL WOK 34 CM,panela,0.0710555284692824,f1_macro_on_full,maximize
MASSA VILMA PENNE TRICOLOR C/OVO 500G,macarrao,0.0710555284692824,f1_macro_on_full,maximize
ALIM GATO FRISKIES FILH CARNE MOLHO 85G,alimento pet,0.0710555284692824,f1_macro_on_full,maximize
CAFE BOM JESUS TRADICIONAL      CX 500GR,cafe,0.0710555284692824,f1_macro_on_full,maximize
CONFEITO DISQUETI MINI CHOC 11G,chocolate,0.0710555284692824,f1_macro_on_full,maximize
FD PAMPERS SUPERSEC HIPER M 52UN,fralda,0.0710555284692824,f1_macro_on_full,maximize
BATATA MCCAIN AIRFRYER EXTRAC CONG 600g,vegetal congelado,0.0710555284692824,f1_macro_on_full,maximize
LEITE PO NUTRIWAY INTEGRAL INSTANT 350g,leite em po,0.0710555284692824,f1_macro_on_full,maximize
REFR FANTA LARANJA LT 220ml,refrigerante,0.0710555284692824,f1_macro_on_full,maximize
"REFR COCA COLA 2,5L",refrigerante,0.0710555284692824,f1_macro_on_full,maximize
CERV BRAHMA CHOPP LTA 269ML,cerveja,0.0710555284692824,f1_macro_on_full,maximize
D.R.REXONA 50ML. ANTIBACTERIAL,desodorante,0.0710555284692824,f1_macro_on_full,maximize
CHALEIRA MULTILASER BE007 PT INOX 110V,chaleira eletrica,0.0710555284692824,f1_macro_on_full,maximize
MAC SEMOLADO P NOSSO GALO 500G,macarrao,0.0710555284692824,f1_macro_on_full,maximize
AZEITONA PTA S CAROCO RAIOLA VD 160G,azeitona,0.0710555284692824,f1_macro_on_full,maximize
CHOC TAB NESTLE NESCAU 80G,chocolate,0.0710555284692824,f1_macro_on_full,maximize
AGUA MIN MINALBA 5L,agua,0.0710555284692824,f1_macro_on_full,maximize
TIRA MANCHA OMO 380G-REFIL EX-PODER RPA BCA,alvejante,0.0710555284692824,f1_macro_on_full,maximize
CONTRA FILE BOV PEDACO BAND KG,carne bovina,0.0710555284692824,f1_macro_on_full,maximize
"AMENDOIM ELMA CHIPS, 170G OVINHO",amendoim,0.0710555284692824,f1_macro_on_full,maximize
ESP BRA SALTON OURO EXTRA BRUT 750M,espumante,0.0710555284692824,f1_macro_on_full,maximize
BISC ISABELA PIC NIC PC 400G,biscoito,0.0710555284692824,f1_macro_on_full,maximize
ESPONJA LIMPPANO MULTI USO L4P3,esponja,0.0710555284692824,f1_macro_on_full,maximize
POLPA FRU TAMARINDO BRASFRUT 100G,polpa de fruta congelada,0.0710555284692824,f1_macro_on_full,maximize
BR NUTS VEGAN PINATI 120G LV4PG3 BANANA,barra alimentar,0.0710555284692824,f1_macro_on_full,maximize
BISC AGUA SAL TRIUNFO 200G,biscoito,0.0710555284692824,f1_macro_on_full,maximize
DOCE GOIABA F V 400G  400G,goiabada,0.0710555284692824,f1_macro_on_full,maximize
BISC MAISENA DUCHEN 160G,biscoito,0.0710555284692824,f1_macro_on_full,maximize
QJ MUSSARELA PIRACANJUBA FATIADO 150G,queijo,0.0710555284692824,f1_macro_on_full,maximize
BROCOLIS NINJA 300G,brocolis,0.0710555284692824,f1_macro_on_full,maximize
ABS. INTER.INTIMUS SUP. LMPM    PE  16UN,absorvente,0.0710555284692824,f1_macro_on_full,maximize
NECTAR MAGUARY 1L-TP TANGERINA,suco pronto,0.0710555284692824,f1_macro_on_full,maximize
IND MUCARELA DONA FORMOSA KG SN FAT,queijo,0.0710555284692824,f1_macro_on_full,maximize
BISC REC MORANGO TRELOS 130G,biscoito,0.0710555284692824,f1_macro_on_full,maximize
PAO LIG CENTEIO TCHE PAO 350G,padaria e confeitaria industrializado,0.0710555284692824,f1_macro_on_full,maximize
ARROZ INT TIO JOAO 1KG,arroz,0.0710555284692824,f1_macro_on_full,maximize
ALFACE FRANCESA,alface,0.0710555284692824,f1_macro_on_full,maximize
SH CLEAR L400P330ML A.CASP MEN MENTOL,shampoo,0.0710555284692824,f1_macro_on_full,maximize
BISC RECH NEGRESCO FININHO 57G,biscoito,0.0710555284692824,f1_macro_on_full,maximize
STEAK FGO PERDIGAO 100G,empanado congelado,0.0710555284692824,f1_macro_on_full,maximize
CHOCOWAFER ZOO ANIMA 126G,biscoito,0.0710555284692824,f1_macro_on_full,maximize
IOG DANONE POLPA GREGO ORIGINAL 400G,iogurte,0.0710555284692824,f1_macro_on_full,maximize
GOMA MASC FREEGELLS GUM 8G MENTA,goma de mascar,0.0710555284692824,f1_macro_on_full,maximize
CRAVO INDIA TAPAJOS 20G,cravo da india,0.0710555284692824,f1_macro_on_full,maximize
FERMENTO ROYAL PO                PT 100G,fermento,0.0710555284692824,f1_macro_on_full,maximize
OLEO COCO EMPORIO NUT S 200ML,oleo vegetal,0.0710555284692824,f1_macro_on_full,maximize
SALGADINHO PIPPO S BACON        30G,aperitivo,0.0710555284692824,f1_macro_on_full,maximize
DESINF.CIF 500ML TIRA LIMO C.CLORO GATILHO,desinfetante,0.0710555284692824,f1_macro_on_full,maximize
STEAK DE PEIXE EMPANADO CG 100G,empanado congelado,0.0710555284692824,f1_macro_on_full,maximize
CEREAL MAT KELLOGGS SUCR CHOCO POW 240G,cereal matinal,0.0710555284692824,f1_macro_on_full,maximize
PAO FRANCES RUSTICO SWIFT 120G,padaria e confeitaria fresca,0.0710555284692824,f1_macro_on_full,maximize
TQ CER BAR LIG MRGO CHOCO C3 66G,barra alimentar,0.0710555284692824,f1_macro_on_full,maximize
PANQUECA DR.OETKER AMERICANA 220G,preparo de alimento,0.0710555284692824,f1_macro_on_full,maximize
BISC DOCE 100 INTEG NESFIT 140G-PC FRUT VRM,biscoito,0.0710555284692824,f1_macro_on_full,maximize
"ALIM P/GATO BALANCE AD SH 85g, FGO/VEG",alimento pet,0.0710555284692824,f1_macro_on_full,maximize
ABS SEMPRE LIVRE C/8 NOITE/DIA ABAS SUAVE,absorvente,0.0710555284692824,f1_macro_on_full,maximize
LOCAO HID HIDRAMAIS ALGOD/OMEGA 500ml,creme corporal,0.0710555284692824,f1_macro_on_full,maximize
ATADURA CREPE 13F 8CMX1.80M NEVE,outro farma,0.0710555284692824,f1_macro_on_full,maximize
AGUA MINERAL S GAS BIOLEVE NAT 1500ML,agua,0.0710555284692824,f1_macro_on_full,maximize
DESOD AER NIVEA INV B.W M.PROT FEM 150ML,desodorante,0.0710555284692824,f1_macro_on_full,maximize
CHA DR OETKER 10GR AF C/10 MORANG SILVEST,cha por infusao,0.0710555284692824,f1_macro_on_full,maximize
MANJERICAO KITANO                 PCT 7G,manjericao,0.0710555284692824,f1_macro_on_full,maximize
TOMATE DOCE JW BAND 180GR,tomate,0.0710555284692824,f1_macro_on_full,maximize
GOIABADA AMORE 200G,goiabada,0.0710555284692824,f1_macro_on_full,maximize
REFRESCO PO CAMP CAJU  15G,preparo para suco,0.0710555284692824,f1_macro_on_full,maximize
ESTOPA ALGO BOM ALVEJADA 100G,automotivo,0.0710555284692824,f1_macro_on_full,maximize
AG SANITARIA TUBARAO BRANCO 5L,agua sanitaria,0.0710555284692824,f1_macro_on_full,maximize
CAFE DAMASCO CLASSICO ALMOFADA      500G,cafe,0.0710555284692824,f1_macro_on_full,maximize
QUEIJO MINAS FRESCAL CASCATA PEQ KG,queijo,0.0710555284692824,f1_macro_on_full,maximize
COSTELA BOV KG C/OSSO REGIONAL,carne bovina,0.0710555284692824,f1_macro_on_full,maximize
BEB AVEIA NUDE ORGANICA BAUNILHA      1L,outra bebida,0.0710555284692824,f1_macro_on_full,maximize
LIMP.CIF 900ML PERF.ENVOLVENTE,multiuso,0.0710555284692824,f1_macro_on_full,maximize
"ALI GATO KELCAT 40G SNACK, ATUM",alimento pet,0.0710555284692824,f1_macro_on_full,maximize
LEITE PO MOLICO DESN 280G TOT CALC,leite em po,0.0710555284692824,f1_macro_on_full,maximize
EBASTEL 10MG C/10 COMPRIMIDOS EUROFARMA,outro farma,0.0710555284692824,f1_macro_on_full,maximize
TEMP  FGO MILANESA SAZON 60G,tempero pronto,0.0710555284692824,f1_macro_on_full,maximize
CHA LEAO MARACUJ LARANJA E GENG 22G,cha por infusao,0.0710555284692824,f1_macro_on_full,maximize
BIS EQLIBRI TOMATE . 45G,biscoito,0.0710555284692824,f1_macro_on_full,maximize
FL PTO FGO RES 700GR NATTO 700G,carne de ave,0.0710555284692824,f1_macro_on_full,maximize
"BISC NESFIT, 160G MORANGO/CEREAIS",biscoito,0.0710555284692824,f1_macro_on_full,maximize
PAO ARTESANO PULLMAN 500g,padaria e confeitaria industrializado,0.0710555284692824,f1_macro_on_full,maximize
LIMPADOR MR.MUSCULO BANH.TOT.400 OF 30,multiuso,0.0710555284692824,f1_macro_on_full,maximize
SUCO UVA DEL VALLE LT 290ML,suco pronto,0.0710555284692824,f1_macro_on_full,maximize
ISCAS F TILAPIA 300G 300G,peixe,0.0710555284692824,f1_macro_on_full,maximize
"LEITE XANDO 1L GF, INT Z/LACT A",leite,0.0710555284692824,f1_macro_on_full,maximize
REF SPRITE 220ML,refrigerante,0.0710555284692824,f1_macro_on_full,maximize
HORTFG MELAO C/REDE KG,melao,0.0710555284692824,f1_macro_on_full,maximize
MIST BOLO SAO BRAZ PC 400G BROWNIE,preparo para bolo,0.0710555284692824,f1_macro_on_full,maximize
LEITE PO LASERENISSIMA INST SC 800G,leite em po,0.0710555284692824,f1_macro_on_full,maximize
DANONINHO MORANGO/BANANA 480G L12P10,iogurte,0.0710555284692824,f1_macro_on_full,maximize
ARROZ SERRAZUL 5KG,arroz,0.0710555284692824,f1_macro_on_full,maximize
MOLHO SHOYU SAKURA 500ML TRAD,molho shoyu,0.0710555284692824,f1_macro_on_full,maximize
PRESUNTO FRIMESA COZID S/C MF FAT 500G,presunto,0.0710555284692824,f1_macro_on_full,maximize
SALGAD EBICEN CEBOLA 60G,aperitivo,0.0710555284692824,f1_macro_on_full,maximize
CARDIGAN DE VISCOSE BASICO GOLA V,cardigan/sueter,0.0710555284692824,f1_macro_on_full,maximize
GIRASSOL PEREIRA 500G,alimento pet,0.0710555284692824,f1_macro_on_full,maximize
TIRA MANCHA SEMORIN 100ML,alvejante,0.0710555284692824,f1_macro_on_full,maximize
IOG ITAMBE NOLAC LIQ FRUTAS VERM 170g,iogurte,0.0710555284692824,f1_macro_on_full,maximize
PAO DE FORMA S/ CASC 500G,padaria e confeitaria industrializado,0.0710555284692824,f1_macro_on_full,maximize
CEREAL KELLOGGS 200G SUPER BALLS SUPERBOM,cereal matinal,0.0710555284692824,f1_macro_on_full,maximize
GRAN LIGH SAO B 500G  500G,cereal matinal,0.0710555284692824,f1_macro_on_full,maximize
REFRESCO TRINK PC 15G MORANGO,preparo para suco,0.0710555284692824,f1_macro_on_full,maximize
TORTILHA RAP10 330G,padaria e confeitaria industrializado,0.0710555284692824,f1_macro_on_full,maximize
MOL TOM PIZ PALM  340G,molho de tomate,0.0710555284692824,f1_macro_on_full,maximize
AVEIA OATBRAN ORG QUAKER 150G,aveia e seus derivados,0.0710555284692824,f1_macro_on_full,maximize
CHOC WAF MAIS AO LEITE 102G,chocolate,0.0710555284692824,f1_macro_on_full,maximize
BOLO CENOURA KG REDONDO,padaria e confeitaria fresca,0.0710555284692824,f1_macro_on_full,maximize
SAB PALMOLIVE 90G SECRET UCUUBA,sabonete,0.0710555284692824,f1_macro_on_full,maximize
