l0_size,strategy,accuracy,f1_macro,train_time_sec,eval_time_sec,selection_time_sec,fit_embedder_time_sec
10,DRI-Cluster,0.11090400745573159,0.005574926328898289,0.004112958908081055,1.814504861831665,21.254374027252197,3.6315290927886963
50,DRI-Cluster,0.2954466782052989,0.03178587916826816,0.004997968673706055,2.3920042514801025,29.52025079727173,3.6315290927886963
100,DRI-Cluster,0.4123418985487951,0.0684586214363578,0.006089687347412109,1.3888425827026367,47.31669878959656,3.6315290927886963
250,DRI-Cluster,0.522473705232326,0.1279089139613927,0.01572418212890625,1.4257433414459229,297.29294300079346,3.6315290927886963
500,DRI-Cluster,0.5921847956330715,0.184461582118437,0.032002925872802734,1.377164602279663,1211.6117746829987,3.6315290927886963
1000,DRI-Cluster,0.6738783118093463,0.2583155171630816,0.04364204406738281,1.421083688735962,928.8051886558533,3.6315290927886963
2500,DRI-Cluster,0.7336040473971508,0.36531970200000907,0.13013792037963867,1.5617852210998535,1152.0090675354004,3.6315290927886963
5000,DRI-Cluster,0.7687258687258687,0.44090823814929986,0.34438014030456543,2.5737502574920654,1509.5299780368805,3.6315290927886963
10000,DRI-Cluster,0.797177473039542,0.5079490594360053,0.38444066047668457,1.8482704162597656,2819.4208347797394,3.6315290927886963
20000,DRI-Cluster,0.8223805085874052,0.5630017457851062,0.848196268081665,2.0317108631134033,4831.583326339722,3.6315290927886963
30000,DRI-Cluster,0.836746105711623,0.5974519063610403,1.2160513401031494,2.2817323207855225,6964.687071323395,3.6315290927886963
50000,DRI-Cluster,0.8525629077353215,0.636464358117331,4.52934193611145,4.114052057266235,9590.028638839722,3.6315290927886963
