nm_item,nm_product,metric_value,metric_type,optimization_goal
INSET AERO RAID MULTI INSETOS 420ML,inseticida,0.4773154526005081,f1_macro_on_full,minimize
SH CLEAR ANTIC DETOX SCALP 2 EM 1 200ML,shampoo,0.4773154526005081,f1_macro_on_full,minimize
"BEB NESTLE FAST 280ML, ALPINO, .",bebida lactea,0.4773154526005081,f1_macro_on_full,minimize
ACHOCOLATADO CARREFOUR TP 1L,achocolatado,0.4773154526005081,f1_macro_on_full,minimize
AP BARB GILLETTE PRESTO3 SENSECARE L8P6,aparelho de barbear e depilatorio,0.4773154526005081,f1_macro_on_full,minimize
GOMA TAPIOCA HIDRATADA GRANFINO 500G,tapioca,0.4773154526005081,f1_macro_on_full,minimize
"CALDO KNORR 57G, LEG, .",caldo industrializado,0.4773154526005081,f1_macro_on_full,minimize
LIXEIRA BASC PLAST SANREMO PTA 15LT,recipientes,0.4773154526005081,f1_macro_on_full,minimize
DOCE DE LEITE CARREFOUR ORIGINAL 400G,outro doce,0.4773154526005081,f1_macro_on_full,minimize
UVA INFINITY TURMA DA MONICA 500G,uva,0.4773154526005081,f1_macro_on_full,minimize
OVO VERMELHO GDE SANTA MONICA ESTJ C12,ovo,0.4773154526005081,f1_macro_on_full,minimize
"DESOD R NIVEA 50ML, BLACK WHITE POW, .",desodorante,0.4773154526005081,f1_macro_on_full,minimize
OLEO MINERAL EXTRAVIDA 15W40 1LT,automotivo,0.4773154526005081,f1_macro_on_full,minimize
"CHOC TALENTO BR 25G, AVELA, .",chocolate,0.4773154526005081,f1_macro_on_full,minimize
PROT SOLAR NIVEA FPS30 200ML GTS 100ML,protetor solar,0.4773154526005081,f1_macro_on_full,minimize
CROISSANT PRES E QJ KG,padaria e confeitaria fresca,0.4773154526005081,f1_macro_on_full,minimize
BOURSIN AZEITONA PRETA FATIADA 130G,queijo,0.4773154526005081,f1_macro_on_full,minimize
AP BARB PROBAK L7P5UN,aparelho de barbear e depilatorio,0.4773154526005081,f1_macro_on_full,minimize
LINGUICA PERDIG MIST DEF 240 G,linguica,0.4773154526005081,f1_macro_on_full,minimize
ADOC LIQ ZERO CAL SACARINA FC 100ML,adocante,0.4773154526005081,f1_macro_on_full,minimize
GRANOLA DA MAGRINHA C/FRUTAS    PCT 850G,granola,0.4773154526005081,f1_macro_on_full,minimize
BISC DA MAGRINHA COOKIES CACAU PCT 150G,biscoito,0.4773154526005081,f1_macro_on_full,minimize
"CER MAT SUPERBOM 200G, SKARCHITOS, .",cereal matinal,0.4773154526005081,f1_macro_on_full,minimize
MAC SADIA 350G MACN CHEESE,macarrao,0.4773154526005081,f1_macro_on_full,minimize
"BOLO LITTLE BITES 66G, CHOCOLATE",padaria e confeitaria industrializado,0.4773154526005081,f1_macro_on_full,minimize
MORTADELA SEARA T DA MONICA FRANGO 400 G,mortadela,0.4773154526005081,f1_macro_on_full,minimize
"LANCHE SEARA HOT HIT 145G, BARBECUE, .",sanduiche congelado,0.4773154526005081,f1_macro_on_full,minimize
MOLHO POMAROLA TRADICIONAL SCH 340G,molho de tomate,0.4773154526005081,f1_macro_on_full,minimize
BISC INTEG NESFIT 140G CACAU/AVELA,biscoito,0.4773154526005081,f1_macro_on_full,minimize
AMAC YPE CONC SC 1L BLUE,amaciante,0.4773154526005081,f1_macro_on_full,minimize
"REFRESC MAGRO 8G, UVA, .",preparo para suco,0.4773154526005081,f1_macro_on_full,minimize
CURATIVO BAND AID TRANSPARENTE 40UN,curativo adesivo,0.4773154526005081,f1_macro_on_full,minimize
"ABS SEMPRE L LV32 PG MENOS UN, NOT SVE",absorvente,0.4773154526005081,f1_macro_on_full,minimize
SOB AERADA GOIABA DANUBIO 100G,iogurte,0.4773154526005081,f1_macro_on_full,minimize
GUARANA GUARAVITA NATURAL 290ML,cha pronto,0.4773154526005081,f1_macro_on_full,minimize
PAPEL HIG. NEVE 30M L32P28 FD   PE  32UN,papel higienico,0.4773154526005081,f1_macro_on_full,minimize
"SALG TORCIDA JR 45G, CALABRESA, .",aperitivo,0.4773154526005081,f1_macro_on_full,minimize
"ESMALT RISQUE 8ML, NAT RENDA",esmalte,0.4773154526005081,f1_macro_on_full,minimize
"REFRIG PEPSI 350ML, TWIST COLA, .",refrigerante,0.4773154526005081,f1_macro_on_full,minimize
SUCO FRUIT SHOOT LARANJA 150ML,suco pronto,0.4773154526005081,f1_macro_on_full,minimize
"MAC DONA B SEMOLA 500G, PARAFUSO, .",macarrao,0.4773154526005081,f1_macro_on_full,minimize
ARROZ CAMIL LF TP1 PCT 5KG,arroz,0.4773154526005081,f1_macro_on_full,minimize
AGUA SANITARIA CLORITO 2L,agua sanitaria,0.4773154526005081,f1_macro_on_full,minimize
