nm_item,nm_product,metric_value,metric_type,optimization_goal
OREGANO CBS SACHE 10g,oregano,0.6928484412757374,accuracy_on_full,maximize
LEITE CONDENSADO DIET SAO LOURENCO 335G,leite condensado,0.6928484412757374,accuracy_on_full,maximize
AMACIANTE COMFORT 1LITR PURO CUIDADO,amaciante,0.6928484412757374,accuracy_on_full,maximize
"WHISKY WHITE 1L, HORSE TRAD, .",whisky,0.6928484412757374,accuracy_on_full,maximize
PAO WICKBOLD 400G INTEG FREKEN/NOZ PECA,padaria e confeitaria industrializado,0.6928484412757374,accuracy_on_full,maximize
CAFE MARATA C/LEITE SACHET 200G,cafe,0.6928484412757374,accuracy_on_full,maximize
CREAM CRACKER 65 RANCHEIRO 216G,biscoito,0.6928484412757374,accuracy_on_full,maximize
DESOD AERO GIOVANNA BABY 30  C 2  BLUE,desodorante,0.6928484412757374,accuracy_on_full,maximize
MIST BOLO ORQUIDEA BAUNILHA 400g,preparo para bolo,0.6928484412757374,accuracy_on_full,maximize
PRESUNTO FATIADO EXCELSIOR 180g,presunto,0.6928484412757374,accuracy_on_full,maximize
CR DENT ORAL B 3D WHITE 70G L3P2,creme dental,0.6928484412757374,accuracy_on_full,maximize
DETERG LIQ LIMPOL 500ML NEUTRO,detergente,0.6928484412757374,accuracy_on_full,maximize
"DESOD AER NIVEA 150ML, BLeWHIT POW, .",desodorante,0.6928484412757374,accuracy_on_full,maximize
MOSTARDA PALMEIRON PAD 180g,mostarda,0.6928484412757374,accuracy_on_full,maximize
TORRADA TOAST CEREALE MULTI 128G,torrada,0.6928484412757374,accuracy_on_full,maximize
PAO DE FORMA WICKBOLD 450G INT,padaria e confeitaria industrializado,0.6928484412757374,accuracy_on_full,maximize
CEREAL BARRA RITTER BROWNIE C/CHOC BCO 60g,barra alimentar,0.6928484412757374,accuracy_on_full,maximize
LIMP CASAePERF 500ML AGRADABLE,multiuso,0.6928484412757374,accuracy_on_full,maximize
CR LEITE ITALAC 200g,creme de leite,0.6928484412757374,accuracy_on_full,maximize
BEB DEL VALLE FRUT GF 450ML LARANJA,suco pronto,0.6928484412757374,accuracy_on_full,maximize
SOPA GRAOS LENTILHA BACON MAGGI 71G,preparo para sopa,0.6928484412757374,accuracy_on_full,maximize
MARCA TEXTO BIC B LINEAR RS UN,outro papelaria,0.6928484412757374,accuracy_on_full,maximize
CACTOS P06,plantas e sementes,0.6928484412757374,accuracy_on_full,maximize
MANJERICAO VERDE MUDA DO QUINTAL UN,manjericao,0.6928484412757374,accuracy_on_full,maximize
"AMAC COMFORT CONC L500P400ML, FIBER PROT",amaciante,0.6928484412757374,accuracy_on_full,maximize
BEB LACT 25G PROT YOPRO 250ML CHOC,bebida lactea,0.6928484412757374,accuracy_on_full,maximize
CESTO ORGANIZADOR MULTIUSO,caixa organizadora,0.6928484412757374,accuracy_on_full,maximize
PAO INT FREEKEH NOZ WICKBOLD 400G,padaria e confeitaria industrializado,0.6928484412757374,accuracy_on_full,maximize
FRUIT SHOOT 100  MACA 150ML,suco pronto,0.6928484412757374,accuracy_on_full,maximize
MASSA ORQUIDEA C/OV PENNE 500g,macarrao,0.6928484412757374,accuracy_on_full,maximize
BALA GELATINA REGALIZ MONOP FI TWIST,bala,0.6928484412757374,accuracy_on_full,maximize
BACON FATIADO SADIA 250G,carne suina,0.6928484412757374,accuracy_on_full,maximize
LING AURORA CHURRASCO RESF 700G,linguica,0.6928484412757374,accuracy_on_full,maximize
CREME DEN. CLOSE UP XTRA WHITEN.TB  90GR,creme dental,0.6928484412757374,accuracy_on_full,maximize
"IOG VIGOR 170G, AMEIXA, .",iogurte,0.6928484412757374,accuracy_on_full,maximize
COSTELA BOVINA SEM OSSO RESF KG,carne bovina,0.6928484412757374,accuracy_on_full,maximize
TOMATE MINI T M 180G 180G,tomate,0.6928484412757374,accuracy_on_full,maximize
COREGA PO 22G,fixador de dentadura,0.6928484412757374,accuracy_on_full,maximize
BATATA SLICE 280G ONDULADA TRADICIONAL,aperitivo,0.6928484412757374,accuracy_on_full,maximize
CAPPUCCINO 3 CORACOES 260ML BALANCE,cafe,0.6928484412757374,accuracy_on_full,maximize
BATATA PRINGLES TB 120G CREME/CEBOLA,aperitivo,0.6928484412757374,accuracy_on_full,maximize
SORV FASCINO 1 5L  CARAMELT,sorvete,0.6928484412757374,accuracy_on_full,maximize
HASTES FLEX COTTON LINE C 150,haste flexivel,0.6928484412757374,accuracy_on_full,maximize
CREME DENT SORRISO TRIPLA LIMP COMP 120g,creme dental,0.6928484412757374,accuracy_on_full,maximize
MAS C OVOS ESPAG N8 500G,macarrao,0.6928484412757374,accuracy_on_full,maximize
SALG CHEETOS 280G ONDA,aperitivo,0.6928484412757374,accuracy_on_full,maximize
BEB LAC BATAVO POLPA MOR BD 360g,bebida lactea,0.6928484412757374,accuracy_on_full,maximize
BALA ARCOR TOFFE CHOCOLATE 500G,bala,0.6928484412757374,accuracy_on_full,maximize
VIN SALTON INTENSO CABER SAUV 750ml,vinho nacional,0.6928484412757374,accuracy_on_full,maximize
G PREGABALINA 75MG C30 CAPS PSICO EMS,outro farma,0.6928484412757374,accuracy_on_full,maximize
IOG DES ZER NESFIT MOR AVE BAUNI 850G,iogurte,0.6928484412757374,accuracy_on_full,maximize
ENROLADO PRESUNTO QUEIJO 100GR UN,padaria e confeitaria industrializado,0.6928484412757374,accuracy_on_full,maximize
"REFRESC MAGRO 8G, LJA, .",preparo para suco,0.6928484412757374,accuracy_on_full,maximize
DESINF LYSOFORM AERO 360ML ORIGINAL,desinfetante,0.6928484412757374,accuracy_on_full,maximize
"CERV ESTRELLA GAL 0,0 BLACK 250ML",cerveja,0.6928484412757374,accuracy_on_full,maximize
CHOC GAROTO TALENTO 85G DOCE LEITE,chocolate,0.6928484412757374,accuracy_on_full,maximize
BARAKELL GEL 10GR,inseticida,0.6928484412757374,accuracy_on_full,maximize
CR LEITE PIRACANJUBA CX 1KG,creme de leite,0.6928484412757374,accuracy_on_full,maximize
CHOC HERSHEYS PED CAFE CARAMEL MACH 85G,chocolate,0.6928484412757374,accuracy_on_full,maximize
CERVEJA PATAGONIA 473ML LT WEISSE,cerveja,0.6928484412757374,accuracy_on_full,maximize
AGUA MINERAL SEM GAS CARREFOUR 5L,agua,0.6928484412757374,accuracy_on_full,maximize
BIS ROSQ REC S LAC VEG RANCHEIRO CHO 90G,biscoito,0.6928484412757374,accuracy_on_full,maximize
TEMP LEGUMES MAGGI 50g ENV 10X5g,tempero pronto,0.6928484412757374,accuracy_on_full,maximize
LIMPADOR VEJA PERF.NAT LAV.LM.PMFC   1LT,multiuso,0.6928484412757374,accuracy_on_full,maximize
DESOD REXONA 150ML AERO MASC INTENS CLIN,desodorante,0.6928484412757374,accuracy_on_full,maximize
KETCHUP HEMMER ZERO           FC   730GR,ketchup,0.6928484412757374,accuracy_on_full,maximize
SUCO DEL VALLE 100  MACA 200ML,suco pronto,0.6928484412757374,accuracy_on_full,maximize
ESPONJA M-USO ESFREBOM LV4 PG3,esponja,0.6928484412757374,accuracy_on_full,maximize
SUCO INTEGRAL XANDO TANGERINA 900ML,suco pronto,0.6928484412757374,accuracy_on_full,maximize
CHA CAMOMILA MEL REAL 14G,cha por infusao,0.6928484412757374,accuracy_on_full,maximize
CIGARRO DUNHILL BLUE BLEN C/20,cigarro,0.6928484412757374,accuracy_on_full,maximize
LEITE L VIDA NINHO INTEG 1L,leite,0.6928484412757374,accuracy_on_full,maximize
SAB BARRA PALMOLIVE OLEO NUTRITIVO 150G,sabonete,0.6928484412757374,accuracy_on_full,maximize
COLA BASTAO 3M SCOTCH 8G,cola,0.6928484412757374,accuracy_on_full,maximize
CHOC TAB LACTA SHOT 80G,chocolate,0.6928484412757374,accuracy_on_full,maximize
BOLO BEBEZINHO CHOCOLATE PANCO 35G,padaria e confeitaria industrializado,0.6928484412757374,accuracy_on_full,maximize
TOALHA UMED BABYSEC C/92 ULT FRESH,lenco umedecido,0.6928484412757374,accuracy_on_full,maximize
CAPELET CAR PAV 250G  250G,massa fresca,0.6928484412757374,accuracy_on_full,maximize
CERV BAVARIA 473ML,cerveja,0.6928484412757374,accuracy_on_full,maximize
CHO NESTL ALP CHOC DARK MILK 41 85G,chocolate,0.6928484412757374,accuracy_on_full,maximize
SH COND NUTRITIVO NATU HAIR 300ML,kit para cabelos,0.6928484412757374,accuracy_on_full,maximize
AGUA TONICA FYS LT 350ML,agua tonica,0.6928484412757374,accuracy_on_full,maximize
AGUA DE COCO DUCOCO 1LT,agua de coco,0.6928484412757374,accuracy_on_full,maximize
ADOCANTE LIQ ZERO CAL 100ml,adocante,0.6928484412757374,accuracy_on_full,maximize
REQUEIJAO BATAVO 400G C/QUEIJO,requeijao,0.6928484412757374,accuracy_on_full,maximize
ACHOC PO NESCAU 2.0 ACTIGEN SACH 730G,achocolatado,0.6928484412757374,accuracy_on_full,maximize
SUCO INT PRATS UVA 900ML,suco pronto,0.6928484412757374,accuracy_on_full,maximize
MISTURA BOLO RENATA CHOCOLATE   PE 400GR,preparo para bolo,0.6928484412757374,accuracy_on_full,maximize
SAB JOHNSONS ROMA 80G,sabonete,0.6928484412757374,accuracy_on_full,maximize
REFRESC PO GLUP MORANGO 25G,preparo para suco,0.6928484412757374,accuracy_on_full,maximize
ALFACE BABY HIDROPONICA ROXA SALANOVA UN,alface,0.6928484412757374,accuracy_on_full,maximize
E MATE BARAO GROSSA 500G,erva mate,0.6928484412757374,accuracy_on_full,maximize
CAFE SOLUV DESCAF NESCAFE SACHE 50g,cafe,0.6928484412757374,accuracy_on_full,maximize
