nm_item,nm_product,metric_value,metric_type,optimization_goal,l0_indices_str
CERV HEINEKEN LT 350ML,cerveja,0.19198769796097698,accuracy_on_full,maximize,"74753,95623,211880,96846,139217,6000,244377,27386,20509,10782"
BISC TODDY RECH BAUNILHA 100G,biscoito,0.19198769796097698,accuracy_on_full,maximize,"74753,95623,211880,96846,139217,6000,244377,27386,20509,10782"
PAO FRANCES ULTRAPAO KG,padaria e confeitaria industrializado,0.19198769796097698,accuracy_on_full,maximize,"74753,95623,211880,96846,139217,6000,244377,27386,20509,10782"
SAB LUX SUAVE JASMIN 85G,sabonete,0.19198769796097698,accuracy_on_full,maximize,"74753,95623,211880,96846,139217,6000,244377,27386,20509,10782"
CHOC ARCOR AMARGO 80G 53 CACAU,chocolate,0.19198769796097698,accuracy_on_full,maximize,"74753,95623,211880,96846,139217,6000,244377,27386,20509,10782"
G BISSUL CLOPIDOGREL 75MG C/28CP MEDLEY,outro farma,0.19198769796097698,accuracy_on_full,maximize,"74753,95623,211880,96846,139217,6000,244377,27386,20509,10782"
LAVA ROUP PO TIXAN 800G ANTIBAC,lava roupas,0.19198769796097698,accuracy_on_full,maximize,"74753,95623,211880,96846,139217,6000,244377,27386,20509,10782"
"SUCO VIG 200ML, MACA",suco pronto,0.19198769796097698,accuracy_on_full,maximize,"74753,95623,211880,96846,139217,6000,244377,27386,20509,10782"
IOG GREGO VIGOR 100G-UN FLOCOS,iogurte,0.19198769796097698,accuracy_on_full,maximize,"74753,95623,211880,96846,139217,6000,244377,27386,20509,10782"
MAC OVOS CONCHA STA AMALIA 500g,macarrao,0.19198769796097698,accuracy_on_full,maximize,"74753,95623,211880,96846,139217,6000,244377,27386,20509,10782"
