nm_item,nm_product,metric_value,metric_type,optimization_goal
SUCO INT PRATS LARANJA 1.7L,suco pronto,0.7509955465021069,accuracy_on_full,minimize
CHOC NESTLE SUFLAIR 80G AO LEITE,chocolate,0.7509955465021069,accuracy_on_full,minimize
SAB. BACT.PROTEX AVEIA LMPM     PE 510GR,sabonete,0.7509955465021069,accuracy_on_full,minimize
AMAC CARREFOUR ESSENTIAL ROSARIUM 2L,amaciante,0.7509955465021069,accuracy_on_full,minimize
"WHISKY JOHNNIE WALKER 1L, BLACK LAB, .",whisky,0.7509955465021069,accuracy_on_full,minimize
LAVA ROUPAS PO COQUEL VEGANO 1KG,lava roupas,0.7509955465021069,accuracy_on_full,minimize
FERM BIOLOG SECO INST FLEISCHMANN SC 10G,fermento,0.7509955465021069,accuracy_on_full,minimize
AP BARB GILLETTE PRESTO3 SENSECARE L8P6,aparelho de barbear e depilatorio,0.7509955465021069,accuracy_on_full,minimize
DOCE DE LEITE CARREFOUR ORIGINAL 400G,outro doce,0.7509955465021069,accuracy_on_full,minimize
UVA INFINITY TURMA DA MONICA 500G,uva,0.7509955465021069,accuracy_on_full,minimize
"MAIONESE HELLMANNS 250G, TRAD , .",maionese,0.7509955465021069,accuracy_on_full,minimize
TQ ORG TOMATE MINI ITALIANO 300G,tomate,0.7509955465021069,accuracy_on_full,minimize
UVA RED GLOBE 500g,uva,0.7509955465021069,accuracy_on_full,minimize
QJ CAMENBERT PRESIDENTE     LT 125G,queijo,0.7509955465021069,accuracy_on_full,minimize
AGUA COCO DUCOCO 200ML,agua de coco,0.7509955465021069,accuracy_on_full,minimize
DESOD NIVEA AE 150ML FEM BLA WHI MAX,desodorante,0.7509955465021069,accuracy_on_full,minimize
FILE TILAPIA S PELE NETUNO CONG 800G,peixe,0.7509955465021069,accuracy_on_full,minimize
"SUCO INT SALTON UVA 1,5LT",suco pronto,0.7509955465021069,accuracy_on_full,minimize
GELATINA BRETZKE CX 30G FRAMBOESA,gelatina,0.7509955465021069,accuracy_on_full,minimize
BEB ENERG RED BULL SUGARFREE    LT 355ML,energetico,0.7509955465021069,accuracy_on_full,minimize
PASTEL ASSADO FRANGO FALEITO 100G,padaria e confeitaria industrializado,0.7509955465021069,accuracy_on_full,minimize
MINI PAO DE QUEIJO EXPRESS KG,padaria e confeitaria fresca,0.7509955465021069,accuracy_on_full,minimize
MINI PAO FRANCES Kg,padaria e confeitaria fresca,0.7509955465021069,accuracy_on_full,minimize
