filename,character_count
README.md,0
pyproject.toml,1288
activetextclassification/__init__.py,0
activetextclassification/active_learner.py,38548
activetextclassification/baseline.py,6274
activetextclassification/cold_start.py,5445
activetextclassification/config.py,1698
activetextclassification/data_preparation.py,13417
activetextclassification/embeddings.py,11915
activetextclassification/models.py,10155
activetextclassification/oracle.py,11599
activetextclassification/prompts.py,3216
activetextclassification/selection.py,7922
activetextclassification/utils.py,13603
activetextclassification/vectorizers.py,11385
activetextclassification/visualization.py,4248
activetextclassification/workflows.py,11139
activetextclassification/analysis/__init__.py,0
activetextclassification/analysis/cold_start_analyzer.py,5368
activetextclassification/cold_start/__init__.py,0
activetextclassification/cold_start/dri_cluster.py,20714
activetextclassification/cold_start/dri_cluster_sem_log.py,14935
activetextclassification/management/__init__.py,0
activetextclassification/management/experiment_manager.py,9706
activetextclassification/management/history_manager.py,7869
activetextclassification/optimization/__init__.py,0
activetextclassification/optimization/genetic_l0_optimizer.py,33617
activetextclassification/optimization/genetic_l0_optimizer_old_0.py,27386
activetextclassification/optimization/genetic_l0_optimizer_old_1.py,18343
activetextclassification/optimization/genetic_l0_optimizerv2.py,33815
activetextclassification/optimization/genetic_l0_optimizerv3.py,22772
activetextclassification/optimization/genetic_l0_optimizerv4.py,28408
activetextclassification/oracle/__init__.py,0
activetextclassification/oracle/experiment_manager.py,14001
activetextclassification/oracle/oracles.py,15818
activetextclassification/oracle/prompts copy.py,5531
activetextclassification/oracle/prompts.py,4326
activetextclassification/visualization/__init__.py,0
activetextclassification/visualization/ag_plots.py,6126
activetextclassification/visualization/ag_plots_evolution.py,3686
activetextclassification/visualization/common_plots copy.py,54684
activetextclassification/visualization/common_plots.py,14465
examples/L0_experimento.ipynb,29275
examples/L0_graficos_l0.ipynb,19481
examples/L0_regressao.ipynb,7508
examples/ag_run_simulations.ipynb,17632
examples/coldstart_analises.ipynb,19036
examples/coldstart_evaluate.ipynb,17261
examples/estatisticas_gerais.ipynb,7660
examples/experimento_lo_ag.ipynb,17380
examples/notebook2py.ipynb,4687
examples/oraculo copy.ipynb,34148
examples/oraculo.ipynb,37974
examples/oraculo.py,34245
examples/temptestoraculo.ipynb,94
examples/seletor/experimento_v3_hist.ipynb,7626
oracle/readme.md,0
oracle/notebooks/oraculo_manager.ipynb,7179
oracle/notebooks/testes_llm.ipynb,5039
