nm_item,nm_product,metric_value,metric_type,optimization_goal
CHOC NESTLE SUFLAIR 80G AO LEITE,chocolate,0.31867378034501886,f1_macro_on_full,minimize
GELATINA FRAMBOESA ROYAL 25G,gelatina,0.31867378034501886,f1_macro_on_full,minimize
"LTE COND MOCA, SEMI DESN TP 395G, .",leite condensado,0.31867378034501886,f1_macro_on_full,minimize
"SAB JOHNS BABY 80G, HORA SONO, .",sabonete infantil,0.31867378034501886,f1_macro_on_full,minimize
REFRESCO PO FIT MANGA 8G,preparo para suco,0.31867378034501886,f1_macro_on_full,minimize
GOMA TAPIOCA HIDRATADA GRANFINO 500G,tapioca,0.31867378034501886,f1_macro_on_full,minimize
"CALDO KNORR 114G, GAL, .",caldo industrializado,0.31867378034501886,f1_macro_on_full,minimize
PAO FORMA SEM CASCA 450G,padaria e confeitaria industrializado,0.31867378034501886,f1_macro_on_full,minimize
BL CHOC NESCAFE PET 270ML,bebida lactea,0.31867378034501886,f1_macro_on_full,minimize
CASTANHA CAJU PEQUENA MARIA ASSADA 100G,"nozes, castanhas e outras oleaginosas",0.31867378034501886,f1_macro_on_full,minimize
"SAB FLOR YPE 85G, FRESIA/PESSEGO",sabonete,0.31867378034501886,f1_macro_on_full,minimize
"MAIONESE HELLMANNS 250G, TRAD , .",maionese,0.31867378034501886,f1_macro_on_full,minimize
PANO PIA ESTAMPADO BLACK C/6,pano para limpeza,0.31867378034501886,f1_macro_on_full,minimize
MANTEIGA FRA PRESIDEN LA MOTTE 250G,manteiga,0.31867378034501886,f1_macro_on_full,minimize
SNACK CROC P PERU PULLMAN 40G,aperitivo,0.31867378034501886,f1_macro_on_full,minimize
"SAB FLOR YPE 85G, ROSAS/AVELA",sabonete,0.31867378034501886,f1_macro_on_full,minimize
ACHOC PO GAROTO SC 600G,achocolatado,0.31867378034501886,f1_macro_on_full,minimize
PNEU PIRELLI 195 60R15 88H F EVO,automotivo,0.31867378034501886,f1_macro_on_full,minimize
CERVEJA WALS DUBBEL GR 375ML,cerveja,0.31867378034501886,f1_macro_on_full,minimize
CHIC TRIDENT FRESH INTENSE 26.6G,goma de mascar,0.31867378034501886,f1_macro_on_full,minimize
REFRIG SPRITE LEMON FRESH       PET 1.5L,refrigerante,0.31867378034501886,f1_macro_on_full,minimize
