nm_item,nm_product,metric_value,metric_type,optimization_goal,l0_indices_str
CD COLG TT12 CARVAO ATIVADO 180G,creme dental,0.011892815990268915,f1_macro_on_full,minimize,"240133,244746,15884,97811,36374,63530,215095,173114,96827,64571,207934,114759,52308,48216,24664,188508,45662,23134,246367,7273,91249,60018,38003,104564,157306,247438,99982,168597,202389,214686,136875,123059,84147,106681,182976,116427,156876,52942,71374,152788,92378,228064,5350,64231,170733,147694,120046,228593,67830,176886,161028,221985,178469,168756,104764,216893,73534,184125,197953,180550,242522,136026,136028,3933,9055,211296,73059,243047,96615,16238,228725,57208,105856,136066,28573,31133,74143,171942,95150,106415,217013,189376,180672,114629,58831,88018,21970,246235,221152,128994,103911,41965,104943,133105,52210,172532,10745,176122,26107,147454"
IOG VERDE CAMPO 140G WHEY FRTS VERMELHAS,iogurte,0.011892815990268915,f1_macro_on_full,minimize,"240133,244746,15884,97811,36374,63530,215095,173114,96827,64571,207934,114759,52308,48216,24664,188508,45662,23134,246367,7273,91249,60018,38003,104564,157306,247438,99982,168597,202389,214686,136875,123059,84147,106681,182976,116427,156876,52942,71374,152788,92378,228064,5350,64231,170733,147694,120046,228593,67830,176886,161028,221985,178469,168756,104764,216893,73534,184125,197953,180550,242522,136026,136028,3933,9055,211296,73059,243047,96615,16238,228725,57208,105856,136066,28573,31133,74143,171942,95150,106415,217013,189376,180672,114629,58831,88018,21970,246235,221152,128994,103911,41965,104943,133105,52210,172532,10745,176122,26107,147454"
BOLINHO BAUDUCCO 40G BRIGADEIRO,padaria e confeitaria industrializado,0.011892815990268915,f1_macro_on_full,minimize,"240133,244746,15884,97811,36374,63530,215095,173114,96827,64571,207934,114759,52308,48216,24664,188508,45662,23134,246367,7273,91249,60018,38003,104564,157306,247438,99982,168597,202389,214686,136875,123059,84147,106681,182976,116427,156876,52942,71374,152788,92378,228064,5350,64231,170733,147694,120046,228593,67830,176886,161028,221985,178469,168756,104764,216893,73534,184125,197953,180550,242522,136026,136028,3933,9055,211296,73059,243047,96615,16238,228725,57208,105856,136066,28573,31133,74143,171942,95150,106415,217013,189376,180672,114629,58831,88018,21970,246235,221152,128994,103911,41965,104943,133105,52210,172532,10745,176122,26107,147454"
MASSA ESPAGUETE CRISTAL SEMOLA N8 500G,macarrao,0.011892815990268915,f1_macro_on_full,minimize,"240133,244746,15884,97811,36374,63530,215095,173114,96827,64571,207934,114759,52308,48216,24664,188508,45662,23134,246367,7273,91249,60018,38003,104564,157306,247438,99982,168597,202389,214686,136875,123059,84147,106681,182976,116427,156876,52942,71374,152788,92378,228064,5350,64231,170733,147694,120046,228593,67830,176886,161028,221985,178469,168756,104764,216893,73534,184125,197953,180550,242522,136026,136028,3933,9055,211296,73059,243047,96615,16238,228725,57208,105856,136066,28573,31133,74143,171942,95150,106415,217013,189376,180672,114629,58831,88018,21970,246235,221152,128994,103911,41965,104943,133105,52210,172532,10745,176122,26107,147454"
SALGADINHOS SORTIDOS 400G,aperitivo,0.011892815990268915,f1_macro_on_full,minimize,"240133,244746,15884,97811,36374,63530,215095,173114,96827,64571,207934,114759,52308,48216,24664,188508,45662,23134,246367,7273,91249,60018,38003,104564,157306,247438,99982,168597,202389,214686,136875,123059,84147,106681,182976,116427,156876,52942,71374,152788,92378,228064,5350,64231,170733,147694,120046,228593,67830,176886,161028,221985,178469,168756,104764,216893,73534,184125,197953,180550,242522,136026,136028,3933,9055,211296,73059,243047,96615,16238,228725,57208,105856,136066,28573,31133,74143,171942,95150,106415,217013,189376,180672,114629,58831,88018,21970,246235,221152,128994,103911,41965,104943,133105,52210,172532,10745,176122,26107,147454"
BISC NEST 60G PASSATEMPO COOKIES,biscoito,0.011892815990268915,f1_macro_on_full,minimize,"240133,244746,15884,97811,36374,63530,215095,173114,96827,64571,207934,114759,52308,48216,24664,188508,45662,23134,246367,7273,91249,60018,38003,104564,157306,247438,99982,168597,202389,214686,136875,123059,84147,106681,182976,116427,156876,52942,71374,152788,92378,228064,5350,64231,170733,147694,120046,228593,67830,176886,161028,221985,178469,168756,104764,216893,73534,184125,197953,180550,242522,136026,136028,3933,9055,211296,73059,243047,96615,16238,228725,57208,105856,136066,28573,31133,74143,171942,95150,106415,217013,189376,180672,114629,58831,88018,21970,246235,221152,128994,103911,41965,104943,133105,52210,172532,10745,176122,26107,147454"
CERV HEINEKEN LT 269ML,cerveja,0.011892815990268915,f1_macro_on_full,minimize,"240133,244746,15884,97811,36374,63530,215095,173114,96827,64571,207934,114759,52308,48216,24664,188508,45662,23134,246367,7273,91249,60018,38003,104564,157306,247438,99982,168597,202389,214686,136875,123059,84147,106681,182976,116427,156876,52942,71374,152788,92378,228064,5350,64231,170733,147694,120046,228593,67830,176886,161028,221985,178469,168756,104764,216893,73534,184125,197953,180550,242522,136026,136028,3933,9055,211296,73059,243047,96615,16238,228725,57208,105856,136066,28573,31133,74143,171942,95150,106415,217013,189376,180672,114629,58831,88018,21970,246235,221152,128994,103911,41965,104943,133105,52210,172532,10745,176122,26107,147454"
CEBOLA 2KG,cebola,0.011892815990268915,f1_macro_on_full,minimize,"240133,244746,15884,97811,36374,63530,215095,173114,96827,64571,207934,114759,52308,48216,24664,188508,45662,23134,246367,7273,91249,60018,38003,104564,157306,247438,99982,168597,202389,214686,136875,123059,84147,106681,182976,116427,156876,52942,71374,152788,92378,228064,5350,64231,170733,147694,120046,228593,67830,176886,161028,221985,178469,168756,104764,216893,73534,184125,197953,180550,242522,136026,136028,3933,9055,211296,73059,243047,96615,16238,228725,57208,105856,136066,28573,31133,74143,171942,95150,106415,217013,189376,180672,114629,58831,88018,21970,246235,221152,128994,103911,41965,104943,133105,52210,172532,10745,176122,26107,147454"
SAB LUX BOTANICALS BR 85G LIRIO AZUL,sabonete,0.011892815990268915,f1_macro_on_full,minimize,"240133,244746,15884,97811,36374,63530,215095,173114,96827,64571,207934,114759,52308,48216,24664,188508,45662,23134,246367,7273,91249,60018,38003,104564,157306,247438,99982,168597,202389,214686,136875,123059,84147,106681,182976,116427,156876,52942,71374,152788,92378,228064,5350,64231,170733,147694,120046,228593,67830,176886,161028,221985,178469,168756,104764,216893,73534,184125,197953,180550,242522,136026,136028,3933,9055,211296,73059,243047,96615,16238,228725,57208,105856,136066,28573,31133,74143,171942,95150,106415,217013,189376,180672,114629,58831,88018,21970,246235,221152,128994,103911,41965,104943,133105,52210,172532,10745,176122,26107,147454"
"SABAO PO TIXAN SCH 1KG, PRIMAV, .",lava roupas,0.011892815990268915,f1_macro_on_full,minimize,"240133,244746,15884,97811,36374,63530,215095,173114,96827,64571,207934,114759,52308,48216,24664,188508,45662,23134,246367,7273,91249,60018,38003,104564,157306,247438,99982,168597,202389,214686,136875,123059,84147,106681,182976,116427,156876,52942,71374,152788,92378,228064,5350,64231,170733,147694,120046,228593,67830,176886,161028,221985,178469,168756,104764,216893,73534,184125,197953,180550,242522,136026,136028,3933,9055,211296,73059,243047,96615,16238,228725,57208,105856,136066,28573,31133,74143,171942,95150,106415,217013,189376,180672,114629,58831,88018,21970,246235,221152,128994,103911,41965,104943,133105,52210,172532,10745,176122,26107,147454"
