nm_item,nm_product,metric_value,metric_type,optimization_goal
CHOC NESTLE SUFLAIR 80G AO LEITE,chocolate,0.7982026241687137,accuracy_on_full,maximize
AMAC CARREFOUR ESSENTIAL ALOE 2L,amaciante,0.7982026241687137,accuracy_on_full,maximize
OLEO ELAION SEMI SINTETICO 15W40 1LT,automotivo,0.7982026241687137,accuracy_on_full,maximize
"WHISKY JOHNN WALKER 1L UN, RED LABEL, .",whisky,0.7982026241687137,accuracy_on_full,maximize
"WHISKY JOHNNIE WALKER 1L, BLACK LAB, .",whisky,0.7982026241687137,accuracy_on_full,maximize
ARROZ PAVAO INTEGRAL            PE   1KG,arroz,0.7982026241687137,accuracy_on_full,maximize
BOL ANA MARIA BAUNILHA 35GR,padaria e confeitaria industrializado,0.7982026241687137,accuracy_on_full,maximize
LING CALAB DEF SADIA 500G,linguica,0.7982026241687137,accuracy_on_full,maximize
BEB LIFE MIX KIDS LARANJA 200ML,suco pronto,0.7982026241687137,accuracy_on_full,maximize
AMAC ROUPA YPE ACONCHEGO 5L GRATIS 500ML,amaciante,0.7982026241687137,accuracy_on_full,maximize
SAB PROTEX ANT OMEGA 3 85G,sabonete,0.7982026241687137,accuracy_on_full,maximize
ACHOCOLATADO CARREFOUR TP 1L,achocolatado,0.7982026241687137,accuracy_on_full,maximize
AMAC ROUPA YPE INTENSO 2L GRATIS 400ML,amaciante,0.7982026241687137,accuracy_on_full,maximize
ACENDEDOR BOM BRASA 50G C/5 UN POTE,acendedor,0.7982026241687137,accuracy_on_full,maximize
ESC DENT MACIA CONDOR TRIP CAB L2P1,escova de dentes,0.7982026241687137,accuracy_on_full,maximize
G FUM BISOPROLOL 10MG C/30 CP REV EMS,outro farma,0.7982026241687137,accuracy_on_full,maximize
G FUM BISOPROLOL 5 MG C/30 CP REV EMS,outro farma,0.7982026241687137,accuracy_on_full,maximize
"LIMP SAN HARPIC 500ML, LAV, .",multiuso,0.7982026241687137,accuracy_on_full,maximize
TRIO NUTS TRADICIONAL COM CHOCOLATE 50G,barra alimentar,0.7982026241687137,accuracy_on_full,maximize
LEMON PEPPER CASAXA SC 35G,outro condimento,0.7982026241687137,accuracy_on_full,maximize
BISC CEREALE CACAU 170 G,biscoito,0.7982026241687137,accuracy_on_full,maximize
PP BROCOLIS GRANO 1 KG,brocolis,0.7982026241687137,accuracy_on_full,maximize
"CALDO KNORR 57G, BACON/LOURO, .",caldo industrializado,0.7982026241687137,accuracy_on_full,maximize
SHAMPOO SEDA 325ML SOS CERAMIDAS,shampoo,0.7982026241687137,accuracy_on_full,maximize
SHAMPOO SEDA 325ML CACHOS DEFINIDO,shampoo,0.7982026241687137,accuracy_on_full,maximize
UVA INFINITY TURMA DA MONICA 500G,uva,0.7982026241687137,accuracy_on_full,maximize
TOALHA UMED COOP C50,lenco umedecido,0.7982026241687137,accuracy_on_full,maximize
ALV BRILUX PR AZUL 5L,alvejante,0.7982026241687137,accuracy_on_full,maximize
CERV ANTARCTA ORIG ONE WAY 600ML,cerveja,0.7982026241687137,accuracy_on_full,maximize
ALCAPARRAS CONSV HEMMER 100G- VD,vegetal em conserva,0.7982026241687137,accuracy_on_full,maximize
TANG GUARANA  25G,preparo para suco,0.7982026241687137,accuracy_on_full,maximize
"SH PALMOLIVE NAT 350ML, LISS, .",shampoo,0.7982026241687137,accuracy_on_full,maximize
PAO DE FORMA WICKBOLD 450G INT,padaria e confeitaria industrializado,0.7982026241687137,accuracy_on_full,maximize
FDA HUGGIES ROUPINHA SC MEGA M/36,fralda,0.7982026241687137,accuracy_on_full,maximize
FDA HUGGIES ROUPINHA SC MEGA G/30,fralda,0.7982026241687137,accuracy_on_full,maximize
BISC AMANT EDWIGES MINI LACO LT 150G,biscoito,0.7982026241687137,accuracy_on_full,maximize
DESOD NIVEA AE 150ML FEM BLA WHI MAX,desodorante,0.7982026241687137,accuracy_on_full,maximize
LING CNE SUINA MINI PRIMOR 150G,linguica,0.7982026241687137,accuracy_on_full,maximize
CHOC NEST 80G TAB SUFLAIR DUO,chocolate,0.7982026241687137,accuracy_on_full,maximize
MARGARINA QUALY AERA C/SAL      PT 500GR,margarina,0.7982026241687137,accuracy_on_full,maximize
GELATINA BRETZKE CX 30G CEREJA,gelatina,0.7982026241687137,accuracy_on_full,maximize
BISC AYMORE BANANA CANELA 200G,biscoito,0.7982026241687137,accuracy_on_full,maximize
"CALDO KNORR 57G, PICANHA, .",caldo industrializado,0.7982026241687137,accuracy_on_full,maximize
GELATINA BRETZKE CX 30G ABACAXI,gelatina,0.7982026241687137,accuracy_on_full,maximize
IOG BATAVO GREGO ZERO MORANGO 100G,iogurte,0.7982026241687137,accuracy_on_full,maximize
"SUCO PURITY SOJA 1L, MAC, .",suco pronto,0.7982026241687137,accuracy_on_full,maximize
LIMP PERFUMADO CASAePERF SENSUALIDAD,multiuso,0.7982026241687137,accuracy_on_full,maximize
"SUCO PURITY SOJA 1L, MARAC, .",suco pronto,0.7982026241687137,accuracy_on_full,maximize
AMENDOIM OVINHO YOKI 90G,amendoim,0.7982026241687137,accuracy_on_full,maximize
MASSA SOETO 1KG PRONTA P/TAPIOCA,massa fresca,0.7982026241687137,accuracy_on_full,maximize
"SAB GRANADO 90G, GLICERINA",sabonete,0.7982026241687137,accuracy_on_full,maximize
COLORIFICO KITANO  80G,colorifico,0.7982026241687137,accuracy_on_full,maximize
BROA CENTEIO NINO 450G,padaria e confeitaria industrializado,0.7982026241687137,accuracy_on_full,maximize
"MARG VIGOR MIX 500G, S/SAL, .",margarina,0.7982026241687137,accuracy_on_full,maximize
ALICATE MUNDIAL CUTI. PROF. 777 CT   1UN,alicate de unha,0.7982026241687137,accuracy_on_full,maximize
RINOSORO SIC 3  SPRAY NASAL C/50ML HYPER,outro farma,0.7982026241687137,accuracy_on_full,maximize
PALMITO GOLDEN FATIAS 270G,palmito,0.7982026241687137,accuracy_on_full,maximize
"DESOD AER DOVE L P- 250ML, ORIG, .",desodorante,0.7982026241687137,accuracy_on_full,maximize
"PETIT VIGOR 360G, CHOC, .",iogurte,0.7982026241687137,accuracy_on_full,maximize
BISC COOKIES ZERO BELIVE 80G DOUBLE CHOC,biscoito,0.7982026241687137,accuracy_on_full,maximize
TEMP SAZON DA LIGA PICANHA SC 60G,tempero pronto,0.7982026241687137,accuracy_on_full,maximize
PAO HOT DOG,padaria e confeitaria fresca,0.7982026241687137,accuracy_on_full,maximize
"FETTUCINE SEARA 350G, PERU/BROCOLIS, .",outro congelado,0.7982026241687137,accuracy_on_full,maximize
"MARG DORIANA 250G, S/SAL, .",margarina,0.7982026241687137,accuracy_on_full,maximize
REFRIG PEPSI ZERO LT 350ML,refrigerante,0.7982026241687137,accuracy_on_full,maximize
FARINHA LACTEA NESTLE MULTIGRAO 380G,modificadores de leite,0.7982026241687137,accuracy_on_full,maximize
PAO FORMA JR PANCO 350G,padaria e confeitaria industrializado,0.7982026241687137,accuracy_on_full,maximize
PR LP AJAX FRESH LIM BRANCO 1L,multiuso,0.7982026241687137,accuracy_on_full,maximize
RACAO WHISKAS 7 AD PEIXE SACHE 85g,alimento pet,0.7982026241687137,accuracy_on_full,maximize
EXT TOMATE ELEFANTE LATA 130G,extrato de tomate,0.7982026241687137,accuracy_on_full,maximize
ESPUM SALTON SERIES BRUT ROSE 750ml,espumante,0.7982026241687137,accuracy_on_full,maximize
PIMENTAO REI LONGO  300G,pimentao,0.7982026241687137,accuracy_on_full,maximize
BISC INTEG NESFIT 140G- MACA/CANELA,biscoito,0.7982026241687137,accuracy_on_full,maximize
GEL DENTAL DENTALCLEAN MADAG TUTTI 50g,creme dental,0.7982026241687137,accuracy_on_full,maximize
